symbol,buy_trades_3d,sell_trades_3d,total_trades_3d,buy_sell_ratio,dates_used
BTCUSDT,3614596,3611425,7226021,1.0009,2026-05-21|2026-05-20|2026-05-19
ETHUSDT,3563647,3575973,7139620,0.9966,2026-05-21|2026-05-20|2026-05-19
BNBUSDT,867850,860907,1728757,1.0081,2026-05-21|2026-05-20|2026-05-19
SOLUSDT,851401,787593,1638994,1.0810,2026-05-21|2026-05-20|2026-05-19
SUIUSDT,809898,799365,1609263,1.0132,2026-05-21|2026-05-20|2026-05-19
ZECUSDT,820875,782284,1603159,1.0493,2026-05-21|2026-05-20|2026-05-19
DOGEUSDT,736862,779126,1515988,0.9458,2026-05-21|2026-05-20|2026-05-19
FLOKIUSDT,726758,738620,1465378,0.9839,2026-05-21|2026-05-20|2026-05-19
XRPUSDT,691978,703477,1395455,0.9837,2026-05-21|2026-05-20|2026-05-19
SPKUSDT,618559,625302,1243861,0.9892,2026-05-21|2026-05-20|2026-05-19
EDENUSDT,475745,468135,943880,1.0163,2026-05-21|2026-05-20|2026-05-19
FIDAUSDT,438831,431399,870230,1.0172,2026-05-21|2026-05-20|2026-05-19
TONUSDT,404654,450456,855110,0.8983,2026-05-21|2026-05-20|2026-05-19
BANANAS31USDT,414922,437363,852285,0.9487,2026-05-21|2026-05-20|2026-05-19
NEARUSDT,380776,396557,777333,0.9602,2026-05-21|2026-05-20|2026-05-19
ONDOUSDT,368701,355595,724296,1.0369,2026-05-21|2026-05-20|2026-05-19
ALTUSDT,349684,351576,701260,0.9946,2026-05-21|2026-05-20|2026-05-19
TAOUSDT,282925,272291,555216,1.0391,2026-05-21|2026-05-20|2026-05-19
INJUSDT,279017,275460,554477,1.0129,2026-05-21|2026-05-20|2026-05-19
WLDUSDT,235771,253040,488811,0.9318,2026-05-21|2026-05-20|2026-05-19
PENGUUSDT,231665,223650,455315,1.0358,2026-05-21|2026-05-20|2026-05-19
DASHUSDT,238580,211007,449587,1.1307,2026-05-21|2026-05-20|2026-05-19
AVAXUSDT,202718,211904,414622,0.9567,2026-05-21|2026-05-20|2026-05-19
LTCUSDT,236884,165128,402012,1.4345,2026-05-21|2026-05-20|2026-05-19
ALLOUSDT,198630,198185,396815,1.0022,2026-05-21|2026-05-20|2026-05-19
LAYERUSDT,194204,196192,390396,0.9899,2026-05-21|2026-05-20|2026-05-19
ATUSDT,184910,185420,370330,0.9972,2026-05-21|2026-05-20|2026-05-19
PROVEUSDT,186255,182978,369233,1.0179,2026-05-21|2026-05-20|2026-05-19
OPENUSDT,180099,172515,352614,1.0440,2026-05-21|2026-05-20|2026-05-19
LINKUSDT,179938,165488,345426,1.0873,2026-05-21|2026-05-20|2026-05-19
NILUSDT,170779,164490,335269,1.0382,2026-05-21|2026-05-20|2026-05-19
KITEUSDT,163050,140681,303731,1.1590,2026-05-21|2026-05-20|2026-05-19
MEGAUSDT,159430,142243,301673,1.1208,2026-05-21|2026-05-20|2026-05-19
JTOUSDT,149025,147776,296801,1.0085,2026-05-21|2026-05-20|2026-05-19
SAHARAUSDT,149248,142933,292181,1.0442,2026-05-21|2026-05-20|2026-05-19
NEIROUSDT,150866,136046,286912,1.1089,2026-05-21|2026-05-20|2026-05-19
TSTUSDT,126152,151700,277852,0.8316,2026-05-21|2026-05-20|2026-05-19
AAVEUSDT,151160,122708,273868,1.2319,2026-05-21|2026-05-20|2026-05-19
CHZUSDT,116929,132207,249136,0.8844,2026-05-21|2026-05-20|2026-05-19
FFUSDT,115065,120494,235559,0.9549,2026-05-21|2026-05-20|2026-05-19
LUNCUSDT,114659,120040,234699,0.9552,2026-05-21|2026-05-20|2026-05-19
ADAUSDT,112982,121409,234391,0.9306,2026-05-21|2026-05-20|2026-05-19
BCHUSDT,112526,115020,227546,0.9783,2026-05-21|2026-05-20|2026-05-19
TIAUSDT,110265,106845,217110,1.0320,2026-05-21|2026-05-20|2026-05-19
RONINUSDT,109603,107389,216992,1.0206,2026-05-21|2026-05-20|2026-05-19
BONKUSDT,109250,105588,214838,1.0347,2026-05-21|2026-05-20|2026-05-19
CHIPUSDT,108354,102773,211127,1.0543,2026-05-21|2026-05-20|2026-05-19
ASTERUSDT,100615,103639,204254,0.9708,2026-05-21|2026-05-20|2026-05-19
UNIUSDT,100375,100088,200463,1.0029,2026-05-21|2026-05-20|2026-05-19
ENJUSDT,98559,94821,193380,1.0394,2026-05-21|2026-05-20|2026-05-19
1000CHEEMSUSDT,97013,95034,192047,1.0208,2026-05-21|2026-05-20|2026-05-19
VIRTUALUSDT,84764,96672,181436,0.8768,2026-05-21|2026-05-20|2026-05-19
HBARUSDT,81919,93197,175116,0.8790,2026-05-21|2026-05-20|2026-05-19
ONTUSDT,88220,83997,172217,1.0503,2026-05-21|2026-05-20|2026-05-19
TRUMPUSDT,79699,89940,169639,0.8861,2026-05-21|2026-05-20|2026-05-19
FOGOUSDT,88294,81312,169606,1.0859,2026-05-21|2026-05-20|2026-05-19
CFGUSDT,83860,85294,169154,0.9832,2026-05-21|2026-05-20|2026-05-19
AIGENSYNUSDT,77023,82772,159795,0.9305,2026-05-21|2026-05-20|2026-05-19
DEXEUSDT,75785,78783,154568,0.9619,2026-05-21|2026-05-20|2026-05-19
PEPEUSDT,80838,72432,153270,1.1161,2026-05-21|2026-05-20|2026-05-19
SEIUSDT,74871,77728,152599,0.9632,2026-05-21|2026-05-20|2026-05-19
2ZUSDT,77425,75014,152439,1.0321,2026-05-21|2026-05-20|2026-05-19
ZAMAUSDT,79833,71842,151675,1.1112,2026-05-21|2026-05-20|2026-05-19
HOMEUSDT,74092,77175,151267,0.9601,2026-05-21|2026-05-20|2026-05-19
ZBTUSDT,77366,73388,150754,1.0542,2026-05-21|2026-05-20|2026-05-19
ZENUSDT,70769,73925,144694,0.9573,2026-05-21|2026-05-20|2026-05-19
MITOUSDT,74892,69031,143923,1.0849,2026-05-21|2026-05-20|2026-05-19
PUMPUSDT,71390,71380,142770,1.0001,2026-05-21|2026-05-20|2026-05-19
FETUSDT,64601,76953,141554,0.8395,2026-05-21|2026-05-20|2026-05-19
KAITOUSDT,68903,72373,141276,0.9521,2026-05-21|2026-05-20|2026-05-19
XLMUSDT,77008,64108,141116,1.2012,2026-05-21|2026-05-20|2026-05-19
SAGAUSDT,67226,72584,139810,0.9262,2026-05-21|2026-05-20|2026-05-19
XPLUSDT,67863,68913,136776,0.9848,2026-05-21|2026-05-20|2026-05-19
ENAUSDT,64006,71004,135010,0.9014,2026-05-21|2026-05-20|2026-05-19
SHIBUSDT,67191,61224,128415,1.0975,2026-05-21|2026-05-20|2026-05-19
AVNTUSDT,63257,62398,125655,1.0138,2026-05-21|2026-05-20|2026-05-19
DYDXUSDT,65939,58783,124722,1.1217,2026-05-21|2026-05-20|2026-05-19
PENDLEUSDT,66056,57341,123397,1.1520,2026-05-21|2026-05-20|2026-05-19
BOMEUSDT,58775,60827,119602,0.9663,2026-05-21|2026-05-20|2026-05-19
PAXGUSDT,60090,57423,117513,1.0464,2026-05-21|2026-05-20|2026-05-19
CFXUSDT,59135,56975,116110,1.0379,2026-05-21|2026-05-20|2026-05-19
VICUSDT,57230,57229,114459,1.0000,2026-05-21|2026-05-20|2026-05-19
SXTUSDT,56530,53550,110080,1.0556,2026-05-21|2026-05-20|2026-05-19
JSTUSDT,60704,46362,107066,1.3093,2026-05-21|2026-05-20|2026-05-19
ORDIUSDT,53153,53802,106955,0.9879,2026-05-21|2026-05-20|2026-05-19
MBLUSDT,55101,51814,106915,1.0634,2026-05-21|2026-05-20|2026-05-19
ICPUSDT,56301,49718,106019,1.1324,2026-05-21|2026-05-20|2026-05-19
GIGGLEUSDT,47687,52013,99700,0.9168,2026-05-21|2026-05-20|2026-05-19
POLUSDT,52402,47228,99630,1.1096,2026-05-21|2026-05-20|2026-05-19
HOLOUSDT,50535,45793,96328,1.1036,2026-05-21|2026-05-20|2026-05-19
CGPTUSDT,49998,45052,95050,1.1098,2026-05-21|2026-05-20|2026-05-19
HYPERUSDT,42405,50716,93121,0.8361,2026-05-21|2026-05-20|2026-05-19
RENDERUSDT,47039,44661,91700,1.0532,2026-05-21|2026-05-20|2026-05-19
FILUSDT,45515,45276,90791,1.0053,2026-05-21|2026-05-20|2026-05-19
DOTUSDT,43451,45689,89140,0.9510,2026-05-21|2026-05-20|2026-05-19
ZKPUSDT,48146,39149,87295,1.2298,2026-05-21|2026-05-20|2026-05-19
DOGSUSDT,42726,44039,86765,0.9702,2026-05-21|2026-05-20|2026-05-19
PLUMEUSDT,43313,41642,84955,1.0401,2026-05-21|2026-05-20|2026-05-19
OSMOUSDT,41111,40114,81225,1.0249,2026-05-21|2026-05-20|2026-05-19
LDOUSDT,40222,40884,81106,0.9838,2026-05-21|2026-05-20|2026-05-19
SUSDT,40382,38573,78955,1.0469,2026-05-21|2026-05-20|2026-05-19
BBUSDT,35005,41714,76719,0.8392,2026-05-21|2026-05-20|2026-05-19
VETUSDT,38814,35371,74185,1.0973,2026-05-21|2026-05-20|2026-05-19
PYTHUSDT,34511,38781,73292,0.8899,2026-05-21|2026-05-20|2026-05-19
SAPIENUSDT,36019,37243,73262,0.9671,2026-05-21|2026-05-20|2026-05-19
DYMUSDT,30882,42038,72920,0.7346,2026-05-21|2026-05-20|2026-05-19
ETCUSDT,36926,35989,72915,1.0260,2026-05-21|2026-05-20|2026-05-19
ATOMUSDT,34128,38632,72760,0.8834,2026-05-21|2026-05-20|2026-05-19
BABYUSDT,33959,35246,69205,0.9635,2026-05-21|2026-05-20|2026-05-19
ARBUSDT,32554,34343,66897,0.9479,2026-05-21|2026-05-20|2026-05-19
DODOUSDT,32322,33909,66231,0.9532,2026-05-21|2026-05-20|2026-05-19
STORJUSDT,33929,31505,65434,1.0769,2026-05-21|2026-05-20|2026-05-19
MORPHOUSDT,32483,32833,65316,0.9893,2026-05-21|2026-05-20|2026-05-19
DUSKUSDT,28884,35355,64239,0.8170,2026-05-21|2026-05-20|2026-05-19
NXPCUSDT,39415,24619,64034,1.6010,2026-05-21|2026-05-20|2026-05-19
PARTIUSDT,33165,30533,63698,1.0862,2026-05-21|2026-05-20|2026-05-19
ROBOUSDT,30540,32402,62942,0.9425,2026-05-21|2026-05-20|2026-05-19
ZROUSDT,29576,33156,62732,0.8920,2026-05-21|2026-05-20|2026-05-19
UUSDT,29387,33321,62708,0.8819,2026-05-21|2026-05-20|2026-05-19
DUSDT,31954,28374,60328,1.1262,2026-05-21|2026-05-20|2026-05-19
IOUSDT,31760,28351,60111,1.1202,2026-05-21|2026-05-20|2026-05-19
CRVUSDT,27434,32022,59456,0.8567,2026-05-21|2026-05-20|2026-05-19
BERAUSDT,33521,25039,58560,1.3388,2026-05-21|2026-05-20|2026-05-19
BEAMXUSDT,29514,28466,57980,1.0368,2026-05-21|2026-05-20|2026-05-19
CELRUSDT,28954,28981,57935,0.9991,2026-05-21|2026-05-20|2026-05-19
HEMIUSDT,24709,31457,56166,0.7855,2026-05-21|2026-05-20|2026-05-19
BIOUSDT,27525,28361,55886,0.9705,2026-05-21|2026-05-20|2026-05-19
ALGOUSDT,29930,25825,55755,1.1590,2026-05-21|2026-05-20|2026-05-19
CAKEUSDT,30795,24872,55667,1.2381,2026-05-21|2026-05-20|2026-05-19
OPUSDT,27327,27094,54421,1.0086,2026-05-21|2026-05-20|2026-05-19
NEWTUSDT,27273,26872,54145,1.0149,2026-05-21|2026-05-20|2026-05-19
RADUSDT,26800,27180,53980,0.9860,2026-05-21|2026-05-20|2026-05-19
EIGENUSDT,27939,25874,53813,1.0798,2026-05-21|2026-05-20|2026-05-19
LPTUSDT,26628,26447,53075,1.0068,2026-05-21|2026-05-20|2026-05-19
EDUUSDT,21431,30424,51855,0.7044,2026-05-21|2026-05-20|2026-05-19
APTUSDT,25032,26571,51603,0.9421,2026-05-21|2026-05-20|2026-05-19
KAIAUSDT,25272,26084,51356,0.9689,2026-05-21|2026-05-20|2026-05-19
WLFIUSDT,21972,28480,50452,0.7715,2026-05-21|2026-05-20|2026-05-19
HUMAUSDT,23446,26836,50282,0.8737,2026-05-21|2026-05-20|2026-05-19
AIUSDT,25222,22965,48187,1.0983,2026-05-21|2026-05-20|2026-05-19
MANTAUSDT,23116,24855,47971,0.9300,2026-05-21|2026-05-20|2026-05-19
SYSUSDT,21617,25965,47582,0.8325,2026-05-21|2026-05-20|2026-05-19
PROMUSDT,23591,23983,47574,0.9837,2026-05-21|2026-05-20|2026-05-19
ARKMUSDT,24461,22715,47176,1.0769,2026-05-21|2026-05-20|2026-05-19
PHBUSDT,22739,23750,46489,0.9574,2026-05-21|2026-05-20|2026-05-19
RUNEUSDT,22505,22334,44839,1.0077,2026-05-21|2026-05-20|2026-05-19
PNUTUSDT,21618,22065,43683,0.9797,2026-05-21|2026-05-20|2026-05-19
MBOXUSDT,19026,23632,42658,0.8051,2026-05-21|2026-05-20|2026-05-19
KERNELUSDT,20330,21829,42159,0.9313,2026-05-21|2026-05-20|2026-05-19
NOTUSDT,22159,19987,42146,1.1087,2026-05-21|2026-05-20|2026-05-19
BARDUSDT,21403,20259,41662,1.0565,2026-05-21|2026-05-20|2026-05-19
OPNUSDT,21487,19904,41391,1.0795,2026-05-21|2026-05-20|2026-05-19
YBUSDT,20902,20076,40978,1.0411,2026-05-21|2026-05-20|2026-05-19
LUMIAUSDT,18487,21713,40200,0.8514,2026-05-21|2026-05-20|2026-05-19
STGUSDT,20182,19506,39688,1.0347,2026-05-21|2026-05-20|2026-05-19
QNTUSDT,18906,20262,39168,0.9331,2026-05-21|2026-05-20|2026-05-19
ZKUSDT,21548,17427,38975,1.2365,2026-05-21|2026-05-20|2026-05-19
STXUSDT,21046,17691,38737,1.1896,2026-05-21|2026-05-20|2026-05-19
NMRUSDT,23206,15525,38731,1.4948,2026-05-21|2026-05-20|2026-05-19
SANDUSDT,19342,19233,38575,1.0057,2026-05-21|2026-05-20|2026-05-19
TOWNSUSDT,18143,19941,38084,0.9098,2026-05-21|2026-05-20|2026-05-19
AXSUSDT,17452,20523,37975,0.8504,2026-05-21|2026-05-20|2026-05-19
ASRUSDT,19077,18880,37957,1.0104,2026-05-21|2026-05-20|2026-05-19
KATUSDT,16195,20081,36276,0.8065,2026-05-21|2026-05-20|2026-05-19
ALICEUSDT,18594,17433,36027,1.0666,2026-05-21|2026-05-20|2026-05-19
COMPUSDT,18783,17109,35892,1.0978,2026-05-21|2026-05-20|2026-05-19
NIGHTUSDT,16644,18416,35060,0.9038,2026-05-21|2026-05-20|2026-05-19
SKYUSDT,15836,18596,34432,0.8516,2026-05-21|2026-05-20|2026-05-19
SUNUSDT,17232,16909,34141,1.0191,2026-05-21|2026-05-20|2026-05-19
STRKUSDT,16670,17172,33842,0.9708,2026-05-21|2026-05-20|2026-05-19
SCRUSDT,18339,15432,33771,1.1884,2026-05-21|2026-05-20|2026-05-19
AXLUSDT,17790,15695,33485,1.1335,2026-05-21|2026-05-20|2026-05-19
HIGHUSDT,14559,18736,33295,0.7771,2026-05-21|2026-05-20|2026-05-19
USUALUSDT,18136,15073,33209,1.2032,2026-05-21|2026-05-20|2026-05-19
PSGUSDT,18876,14224,33100,1.3271,2026-05-21|2026-05-20|2026-05-19
ETHFIUSDT,15935,16965,32900,0.9393,2026-05-21|2026-05-20|2026-05-19
IMXUSDT,18433,13955,32388,1.3209,2026-05-21|2026-05-20|2026-05-19
GPSUSDT,15903,15844,31747,1.0037,2026-05-21|2026-05-20|2026-05-19
GUNUSDT,15452,14939,30391,1.0343,2026-05-21|2026-05-20|2026-05-19
LINEAUSDT,14947,15216,30163,0.9823,2026-05-21|2026-05-20|2026-05-19
